info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: Blog app started
info: fetching blog with id 343
info: Blog app started
info: fetching blog with id 343
error: An error occurred while fetching the blog
info: Blog app started
info: Blog app started
info: Blog app started
info: fetching blog with id 6521bb8fe900326db2742f0a
info: Blog app started
2023-10-07T20:51:53.809Z [info]: Blog app started
2023-10-07T20:52:10.934Z [info]: fetching blog with id 6521bb8fe900326db2742f0a
2023-10-07T20:52:43.266Z [info]: Blog app started
2023-10-07T20:55:58.156Z [info]: fetching blog with id 6521bb8fe900326db2742f0aa
2023-10-07T20:55:58.164Z [error]: An error occurred while fetching the blog with id 6521bb8fe900326db2742f0aa
2023-10-08T12:21:43.225Z [info]: Blog app started
2023-10-08T12:23:17.553Z [info]: Blog app started
2023-10-08T12:29:27.710Z [info]: Blog app started
2023-10-08T12:30:02.844Z [info]: Blog app started
2023-10-08T12:32:20.781Z [info]: Blog app started
2023-10-08T12:39:09.036Z [info]: fetching blog with id 65229f03dcce1b5805fcc1f0
2023-10-08T12:47:30.420Z [info]: Blog app started
2023-10-09T03:50:36.919Z [error]: error connecting to the DB
2023-10-09T04:02:45.246Z [error]: error connecting to the DB
2023-10-09T04:06:22.955Z [error]: error connecting to the DB
2023-10-09T04:07:27.505Z [error]: error connecting to the DB
2023-10-09T04:14:27.797Z [info]: connecting to DB
2023-10-09T04:16:14.894Z [info]: connecting to DB
2023-10-09T04:17:55.657Z [info]: connecting to DB
2023-10-09T04:18:44.975Z [info]: fetching blog with id 65237f072a2e2ec1a6e63597
2023-10-09T04:21:33.889Z [info]: connecting to DB
2023-10-09T04:21:47.530Z [info]: fetching blog with id 65237fd75c40eb42cd6c7f50
2023-10-09T04:23:46.785Z [info]: connecting to DB
2023-10-09T04:23:50.157Z [info]: fetching blog with id 65237ed20cf12eff31b68fc8
2023-10-09T04:23:52.408Z [info]: blog with id 65237ed20cf12eff31b68fc8 deleted
2023-10-09T04:24:23.228Z [info]: connecting to DB
2023-10-09T04:24:26.213Z [info]: connecting to DB
2023-10-09T04:24:30.704Z [info]: connecting to DB
2023-10-09T04:24:37.058Z [info]: connecting to DB
2023-10-09T04:27:36.568Z [info]: connecting to DB
2023-10-09T04:28:13.115Z [info]: connecting to DB
2023-10-09T04:28:55.113Z [info]: connecting to DB
2023-10-09T04:32:15.192Z [info]: connecting to DB
2023-10-09T04:33:09.666Z [info]: connecting to DB
2023-10-09T04:33:22.960Z [info]: connecting to DB
2023-10-09T04:33:41.523Z [info]: connecting to DB
2023-10-09T04:36:05.204Z [info]: connecting to DB
2023-10-09T04:43:15.067Z [info]: connecting to DB
2023-10-09T05:11:56.517Z [info]: connecting to DB
2023-10-09T05:14:24.945Z [info]: connecting to DB
2023-10-10T16:48:37.292Z [info]: connecting to DB
2023-10-10T16:50:26.654Z [info]: connecting to DB
2023-10-10T16:53:11.727Z [info]: connecting to DB
2023-10-10T16:53:33.124Z [info]: connecting to DB
2023-10-10T16:54:18.280Z [info]: connecting to DB
2023-10-10T16:55:31.810Z [info]: connecting to DB
2023-10-10T16:55:45.500Z [info]: connecting to DB
2023-10-10T16:56:25.867Z [info]: connecting to DB
2023-10-10T16:56:29.114Z [info]: connecting to DB
2023-10-10T16:58:23.648Z [info]: connecting to DB
2023-10-10T16:58:28.469Z [info]: connecting to DB
2023-10-10T16:58:34.517Z [info]: connecting to DB
2023-10-10T16:58:54.473Z [info]: connecting to DB
2023-10-10T16:59:03.392Z [info]: connecting to DB
2023-10-10T16:59:10.123Z [info]: connecting to DB
2023-10-10T16:59:13.627Z [info]: connecting to DB
2023-10-10T16:59:25.401Z [info]: connecting to DB
2023-10-10T16:59:29.617Z [info]: connecting to DB
2023-10-10T16:59:39.091Z [info]: connecting to DB
2023-10-10T16:59:47.306Z [info]: connecting to DB
2023-10-10T17:00:06.861Z [info]: connecting to DB
2023-10-10T17:00:44.501Z [info]: connecting to DB
2023-10-10T17:01:01.155Z [info]: connecting to DB
2023-10-10T17:03:19.612Z [info]: connecting to DB
2023-10-10T17:03:33.336Z [info]: connecting to DB
2023-10-10T17:07:08.865Z [info]: connecting to DB
2023-10-10T17:24:34.541Z [info]: connecting to DB
2023-10-10T17:24:40.585Z [info]: connecting to DB
2023-10-10T17:24:49.360Z [info]: connecting to DB
2023-10-10T17:25:03.520Z [info]: connecting to DB
2023-10-10T17:25:20.112Z [info]: connecting to DB
2023-10-10T17:25:29.141Z [info]: connecting to DB
2023-10-10T17:25:34.612Z [info]: connecting to DB
2023-10-10T17:25:39.970Z [info]: connecting to DB
2023-10-10T17:25:44.373Z [info]: connecting to DB
2023-10-10T17:25:51.305Z [info]: connecting to DB
2023-10-10T17:25:56.765Z [info]: connecting to DB
2023-10-10T17:26:03.110Z [info]: connecting to DB
2023-10-10T17:26:08.976Z [info]: connecting to DB
2023-10-10T17:26:14.683Z [info]: connecting to DB
2023-10-10T17:26:27.384Z [info]: connecting to DB
